,Scenario,Time,Parameter,Metric,Units,Climate_Scenario,Climate_GCM,Management_Scenario,Disturbance_Scenario,Total_Scenario
84,Historical_MoreHarvest_rep1,50,MeanNumber_spp,12.56598347,,Historical,Historical,MoreHarvest,Wind_Harvest,Historical_MoreHarvest
89,Historical_rep1,50,MeanNumber_spp,12.92722233,,Historical,Historical,BAU,Wind_Harvest,Historical_BAU
91,MIROC-ESM_rep1,50,MeanNumber_spp,11.22366609,,ClimateChange,MIROC-ESM,BAU,Wind_Harvest,MIROC-ESM_BAU
101,MIROC_LessHarvest_rep1,50,MeanNumber_spp,11.25757356,,ClimateChange,MIROC-ESM,LessHarvest,Wind_Harvest,MIROC-ESM_LessHarvest
104,MIROC_MoreHarvest_rep1,50,MeanNumber_spp,10.95948507,,ClimateChange,MIROC-ESM,MoreHarvest,Wind_Harvest,MIROC-ESM_MoreHarvest
110,MRI_LessHarvest_rep1,50,MeanNumber_spp,12.3914132,,ClimateChange,MRI,LessHarvest,Wind_Harvest,MRI_LessHarvest
120,MRI_MoreHarvest_rep1,50,MeanNumber_spp,12.07785888,,ClimateChange,MRI,MoreHarvest,Wind_Harvest,MRI_MoreHarvest
121,MRI_rep1,50,MeanNumber_spp,12.22890407,,ClimateChange,MRI,BAU,Wind_Harvest,MRI_BAU
4,bcc_LessHarvest_rep1,50,Oak_Habitat,4517,hectares,ClimateChange,bcc,LessHarvest,Wind_Harvest,bcc_LessHarvest
12,bcc_MoreHarvest_rep1,50,Oak_Habitat,4232,hectares,ClimateChange,bcc,MoreHarvest,Wind_Harvest,bcc_MoreHarvest
18,bcc_rep1,50,Oak_Habitat,4494,hectares,ClimateChange,bcc,BAU,Wind_Harvest,bcc_BAU
23,CCSM4_LessHarvest_rep1,50,Oak_Habitat,3716,hectares,ClimateChange,CCSM4,LessHarvest,Wind_Harvest,CCSM4_LessHarvest
26,CCSM4_MoreHarvest_rep1,50,Oak_Habitat,3796,hectares,ClimateChange,CCSM4,MoreHarvest,Wind_Harvest,CCSM4_MoreHarvest
31,CCSM4_rep1,50,Oak_Habitat,3651,hectares,ClimateChange,CCSM4,BAU,Wind_Harvest,CCSM4_BAU
39,CSIRO_LessHarvest_rep1,50,Oak_Habitat,4320,hectares,ClimateChange,CSIRO,LessHarvest,Wind_Harvest,CSIRO_LessHarvest
45,CSIRO_MoreHarvest_rep1,50,Oak_Habitat,4488,hectares,ClimateChange,CSIRO,MoreHarvest,Wind_Harvest,CSIRO_MoreHarvest
50,CSIRO_rep1,50,Oak_Habitat,4133,hectares,ClimateChange,CSIRO,BAU,Wind_Harvest,CSIRO_BAU
57,HAD_GEM2_LessHarvest_rep1,50,Oak_Habitat,4623,hectares,ClimateChange,HAD_GEM2,LessHarvest,Wind_Harvest,HAD_GEM2_LessHarvest
63,HAD_GEM2_MoreHarvest_rep1,50,Oak_Habitat,5205,hectares,ClimateChange,HAD_GEM2,MoreHarvest,Wind_Harvest,HAD_GEM2_MoreHarvest
71,HAD_GEM2_rep1,50,Oak_Habitat,5022,hectares,ClimateChange,HAD_GEM2,BAU,Wind_Harvest,HAD_GEM2_BAU
76,Historical_LessHarvest_rep1,50,Oak_Habitat,2661,hectares,Historical,Historical,LessHarvest,Wind_Harvest,Historical_LessHarvest
80,Historical_MoreHarvest_rep1,50,Oak_Habitat,3050,hectares,Historical,Historical,MoreHarvest,Wind_Harvest,Historical_MoreHarvest
87,Historical_rep1,50,Oak_Habitat,3230,hectares,Historical,Historical,BAU,Wind_Harvest,Historical_BAU
95,MIROC-ESM_rep1,50,Oak_Habitat,4863,hectares,ClimateChange,MIROC-ESM,BAU,Wind_Harvest,MIROC-ESM_BAU
97,MIROC_LessHarvest_rep1,50,Oak_Habitat,4944,hectares,ClimateChange,MIROC-ESM,LessHarvest,Wind_Harvest,MIROC-ESM_LessHarvest
103,MIROC_MoreHarvest_rep1,50,Oak_Habitat,5123,hectares,ClimateChange,MIROC-ESM,MoreHarvest,Wind_Harvest,MIROC-ESM_MoreHarvest
111,MRI_LessHarvest_rep1,50,Oak_Habitat,3258,hectares,ClimateChange,MRI,LessHarvest,Wind_Harvest,MRI_LessHarvest
115,MRI_MoreHarvest_rep1,50,Oak_Habitat,4013,hectares,ClimateChange,MRI,MoreHarvest,Wind_Harvest,MRI_MoreHarvest
123,MRI_rep1,50,Oak_Habitat,3701,hectares,ClimateChange,MRI,BAU,Wind_Harvest,MRI_BAU
5,bcc_LessHarvest_rep1,50,ShannonDiversity,1.77291931,,ClimateChange,bcc,LessHarvest,Wind_Harvest,bcc_LessHarvest
9,bcc_MoreHarvest_rep1,50,ShannonDiversity,1.747502997,,ClimateChange,bcc,MoreHarvest,Wind_Harvest,bcc_MoreHarvest
14,bcc_rep1,50,ShannonDiversity,1.758534073,,ClimateChange,bcc,BAU,Wind_Harvest,bcc_BAU
21,CCSM4_LessHarvest_rep1,50,ShannonDiversity,1.787353251,,ClimateChange,CCSM4,LessHarvest,Wind_Harvest,CCSM4_LessHarvest
29,CCSM4_MoreHarvest_rep1,50,ShannonDiversity,1.780247974,,ClimateChange,CCSM4,MoreHarvest,Wind_Harvest,CCSM4_MoreHarvest
33,CCSM4_rep1,50,ShannonDiversity,1.790014591,,ClimateChange,CCSM4,BAU,Wind_Harvest,CCSM4_BAU
40,CSIRO_LessHarvest_rep1,50,ShannonDiversity,1.795999646,,ClimateChange,CSIRO,LessHarvest,Wind_Harvest,CSIRO_LessHarvest
48,CSIRO_MoreHarvest_rep1,50,ShannonDiversity,1.781400867,,ClimateChange,CSIRO,MoreHarvest,Wind_Harvest,CSIRO_MoreHarvest
51,CSIRO_rep1,50,ShannonDiversity,1.797251504,,ClimateChange,CSIRO,BAU,Wind_Harvest,CSIRO_BAU
59,HAD_GEM2_LessHarvest_rep1,50,ShannonDiversity,1.76042098,,ClimateChange,HAD_GEM2,LessHarvest,Wind_Harvest,HAD_GEM2_LessHarvest
62,HAD_GEM2_MoreHarvest_rep1,50,ShannonDiversity,1.740818839,,ClimateChange,HAD_GEM2,MoreHarvest,Wind_Harvest,HAD_GEM2_MoreHarvest
67,HAD_GEM2_rep1,50,ShannonDiversity,1.741606992,,ClimateChange,HAD_GEM2,BAU,Wind_Harvest,HAD_GEM2_BAU
74,Historical_LessHarvest_rep1,50,ShannonDiversity,1.877913746,,Historical,Historical,LessHarvest,Wind_Harvest,Historical_LessHarvest
83,Historical_MoreHarvest_rep1,50,ShannonDiversity,1.852155013,,Historical,Historical,MoreHarvest,Wind_Harvest,Historical_MoreHarvest
90,Historical_rep1,50,ShannonDiversity,1.884167942,,Historical,Historical,BAU,Wind_Harvest,Historical_BAU
93,MIROC-ESM_rep1,50,ShannonDiversity,1.770426358,,ClimateChange,MIROC-ESM,BAU,Wind_Harvest,MIROC-ESM_BAU
99,MIROC_LessHarvest_rep1,50,ShannonDiversity,1.773462899,,ClimateChange,MIROC-ESM,LessHarvest,Wind_Harvest,MIROC-ESM_LessHarvest
106,MIROC_MoreHarvest_rep1,50,ShannonDiversity,1.743403787,,ClimateChange,MIROC-ESM,MoreHarvest,Wind_Harvest,MIROC-ESM_MoreHarvest
114,MRI_LessHarvest_rep1,50,ShannonDiversity,1.847599447,,ClimateChange,MRI,LessHarvest,Wind_Harvest,MRI_LessHarvest
118,MRI_MoreHarvest_rep1,50,ShannonDiversity,1.826792906,,ClimateChange,MRI,MoreHarvest,Wind_Harvest,MRI_MoreHarvest
124,MRI_rep1,50,ShannonDiversity,1.838353162,,ClimateChange,MRI,BAU,Wind_Harvest,MRI_BAU
